МАТЕМАТИЧЕСКИЕ И ЕСТЕСТВЕННЫЕ НАУКИ;;
05.00.00;НАУКИ О ЗЕМЛЕ;
05.01.01;Гидрометнаблюдатель;Гидрометнаблюдатель
ИНЖЕНЕРНОЕ ДЕЛО, ТЕХНОЛОГИИ И ТЕХНИЧЕСКИЕ НАУКИ;;
08.00.00;ТЕХНИКА И ТЕХНОЛОГИИ СТРОИТЕЛЬСТВА;
08.01.01;Изготовитель арматурных сеток и каркасов;Арматурщик Сварщик арматурных сеток и каркасов
08.01.02;Монтажник трубопроводов;Монтажник наружных трубопроводов Монтажник технологических трубопроводов
08.01.03;Трубоклад;Трубоклад промышленных железобетонных труб Трубоклад промышленных кирпичных труб
08.01.04;Кровельщик;Кровельщик по рулонным кровлям и по кровлям из штучных материалов Кровельщик по стальным кровлям
08.01.05;Мастер столярно-плотничных и паркетных работ;Столяр строительный Плотник Стекольщик Паркетчик
08.01.06;Мастер сухого строительства;Маляр строительный Облицовщик-плиточник Облицовщик синтетическими материалами Штукатур Столяр строительный Монтажник каркасно-обшивных конструкций
08.01.07;Мастер общестроительных работ;Арматурщик Бетонщик Каменщик Монтажник по монтажу стальных и железобетонных конструкций Печник Стропальщик Электросварщик ручной сварки
08.01.08;Мастер отделочных строительных работ;Маляр строительный Монтажник каркасно-обшивных конструкций Облицовщик-плиточник Облицовщик-мозаичник Облицовщик синтетическими материалами Штукатур
08.01.09;Слесарь по строительно-монтажным работам;Слесарь строительный Слесарь по сборке металлоконструкций Электрослесарь строительный
08.01.10;Мастер жилищно-коммунального хозяйства;Слесарь-сантехник Электрогазосварщик Плотник Электромонтажник по освещению и осветительным сетям
08.01.11;Машинист машин и оборудования в производстве цемента;Машинист (обжигальщик) вращающихся печей Машинист (обжигальщик) шахтных печей Машинист сырьевых мельниц Машинист угольных мельниц Машинист цементных мельниц
08.01.12;Оператор технологического оборудования в производстве стеновых и вяжущих материалов;Оператор пульта управления оборудованием в производстве строительных изделий
